179,195,196,187,191,187,201,165,255,183
176,201,182,223,229,208,188,255,178,152
238,193,223,205,180,221,167,165,166,192
135,168,176,198,222,196,220,177,152,162
128,219,160,158,122,198,180,203,231,213
106,150,146,165,220,211,182,207,172,191
135,255,161,204,211,218,207,213,193,236
153,138,228,194,230,205,219,198,167,173
146,154,176,182,157,212,190,195,230,212
155,206,174,184,181,199,183,193,236,224
16,22,0,0,0,0,29,10,123,50
18,32,0,18,24,15,18,170,46,30
90,32,37,4,0,30,1,24,52,92
18,37,12,13,25,2,46,23,21,43
69,138,37,1,0,0,0,8,48,35
55,77,28,9,35,10,0,5,0,5
43,206,11,25,12,14,13,37,39,93
45,12,68,9,28,2,29,27,18,36
48,39,26,6,0,12,0,11,56,42
62,95,31,14,0,1,0,4,47,37
169,189,198,185,176,168,193,150,232,143
167,195,183,221,215,192,179,255,147,113
230,188,226,206,167,206,161,154,137,154
132,169,186,205,216,187,221,171,127,127
137,231,180,176,127,201,191,206,214,185
112,159,164,180,225,213,192,211,157,166
120,255,160,204,199,207,206,210,173,207
131,120,220,188,212,189,213,191,144,142
131,143,175,179,143,196,184,185,205,177
143,198,175,183,166,184,177,184,209,188
