114,114,12,77,12,30,15,17,111,53
126,24,23,144,116,20,7,113,42,53
4,8,15,11,39,0,21,10,11,21
214,15,0,15,0,118,56,2,21,19
0,0,32,0,1,11,9,0,0,1
0,0,128,0,6,0,0,10,10,2
0,0,3,0,0,41,0,0,2,0
210,0,0,11,1,0,8,0,2,6
143,10,0,5,9,1,12,6,4,9
21,0,0,16,0,0,11,4,9,14
113,111,8,71,4,20,4,5,94,36
124,21,18,137,107,10,0,99,26,37
3,6,12,6,32,0,9,0,0,6
218,18,0,14,0,114,48,0,11,9
13,12,42,5,5,13,9,0,0,0
14,6,144,9,16,0,0,11,12,4
17,19,23,12,11,52,7,3,8,4
236,1,12,29,16,6,16,1,6,10
166,32,0,20,18,7,14,6,2,7
43,6,12,27,5,0,11,4,4,10
173,178,85,161,107,133,124,129,222,164
207,110,118,249,232,143,137,246,174,185
130,139,155,160,198,166,193,186,185,195
255,175,152,193,181,255,255,204,222,219
171,174,215,188,201,219,221,207,207,210
170,166,255,191,210,201,209,223,221,213
161,167,182,180,192,242,202,201,204,198
255,151,170,197,197,194,211,197,201,203
255,193,156,201,211,207,221,214,209,212
206,173,189,213,204,205,223,216,218,221
