hadoop fs -cat david78k-ids/results/PageRank.n.out
N=25019	
hadoop fs -cat david78k-ids/results/PageRank.iter1.out | nl
     1	Julian_calendar	9.97070851690498E-4
     2	Roman_numerals	9.690273154507715E-4
     3	Germany	6.975660941585239E-4
     4	World_War_II	6.912054223000199E-4
     5	Anno_Domini	6.63611339422012E-4
     6	Rome	6.268233234344006E-4
     7	Italy	5.893051822075858E-4
     8	United_Kingdom	5.811704332569432E-4
     9	Japan	5.124245667003531E-4
    10	China	4.6107039764886485E-4
    11	Soviet_Union	4.430524769209263E-4
    12	India	3.828578887380957E-4
    13	England	3.770897501763656E-4
    14	Latin	3.541079695570977E-4
    15	Ab_urbe_condita	3.5215960512829236E-4
    16	United_Nations	3.410761385818121E-4
    17	Russia	3.4040285796495045E-4
    18	Roman_Empire	3.36542417216654E-4
    19	Ernest_Hemingway	3.3534396777923267E-4
    20	The_New_York_Times	3.293039593331296E-4
    21	Charlemagne	3.1661962607800923E-4
    22	Europe	3.1381448744481817E-4
    23	French_language	3.0476407007691146E-4
    24	London	3.014207221067294E-4
    25	Netherlands	3.0044205976164864E-4
    26	Christianity	2.9548219928724525E-4
    27	Pope	2.8795206758382917E-4
    28	European_Union	2.81281313087115E-4
    29	Spain	2.782577722806026E-4
    30	Paris	2.6171124777602753E-4
    31	Greek_language	2.603629315550012E-4
    32	Scotland	2.4773131912897667E-4
    33	Switzerland	2.3984723433322867E-4
    34	Poland	2.3166802186109218E-4
    35	Middle_Ages	2.294202067442702E-4
    36	Microsoft_Windows	2.2256909522715718E-4
    37	Wake_Island	2.185207652423421E-4
    38	The_Hitchhiker's_Guide_to_the_Galaxy	2.1579116800340829E-4
    39	Mental_event	2.1467018399349828E-4
    40	Hierarchy	2.1154060485915291E-4
    41	Heavy_Expanded_Mobility_Tactical_Truck	2.1116179191965764E-4
    42	Constantinople	2.083055294810148E-4
    43	Norway	2.0266678861594894E-4
    44	Country_codes	2.0150072449891314E-4
    45	World_Trade_Organization	2.0142227462121998E-4
hadoop fs -cat david78k-ids/results/PageRank.iter8.out | nl
     1	Julian_calendar	9.49748170086397E-4
     2	Roman_numerals	9.22382049715412E-4
     3	Germany	6.142820722078822E-4
     4	Rome	6.12156322832923E-4
     5	Anno_Domini	6.089153027472764E-4
     6	World_War_II	5.953326786246752E-4
     7	Italy	5.594958257706758E-4
     8	United_Kingdom	5.536677910933851E-4
     9	Japan	4.8489026689173416E-4
    10	China	4.326665767386638E-4
    11	Soviet_Union	3.8770848119699984E-4
    12	India	3.768473407318937E-4
    13	England	3.689272480461822E-4
    14	Latin	3.485113464713841E-4
    15	Ab_urbe_condita	3.408873303156141E-4
    16	United_Nations	3.192099480117896E-4
    17	Russia	3.191769851594915E-4
    18	Roman_Empire	3.1346821522986395E-4
    19	The_New_York_Times	3.093165665697019E-4
    20	Europe	3.074264721769383E-4
    21	London	2.9674300277406074E-4
    22	Netherlands	2.9400751506178683E-4
    23	Spain	2.7349555603971645E-4
    24	Christianity	2.729117249506925E-4
    25	Pope	2.650845244322744E-4
    26	French_language	2.6441635086876065E-4
    27	European_Union	2.5988574067967017E-4
    28	Greek_language	2.558310723266914E-4
    29	Paris	2.545334391244702E-4
    30	Scotland	2.4259861056571375E-4
    31	Poland	2.2631276832423965E-4
    32	Switzerland	2.1894183304283922E-4
    33	Charlemagne	2.176574316626627E-4
    34	Constantinople	2.04114230817643E-4
    35	Microsoft_Windows	2.0115331700895164E-4
