nodeid	pagerank
703	0.001561
704	0.000367
705	0.001729
706	0.001684
707	0.000380
708	0.001463
709	0.001182
710	0.000955
711	0.001526
712	0.000396
713	0.001761
714	0.000384
715	0.000988
716	0.000549
717	0.000180
718	0.001019
719	0.001453
720	0.000609
721	0.000503
722	0.000661
723	0.001329
724	0.001272
725	0.000292
726	0.001198
727	0.001560
728	0.000928
729	0.000407
730	0.000498
731	0.001034
732	0.000337
733	0.000272
734	0.000744
735	0.000236
736	0.000316
737	0.000655
738	0.000836
739	0.000837
740	0.000302
741	0.000580
742	0.000319
743	0.000152
744	0.000143
745	0.001218
746	0.000247
747	0.001066
748	0.000540
749	0.000131
750	0.000148
751	0.000501
752	0.001069
753	0.000367
754	0.000842
755	0.000486
756	0.000456
757	0.000143
758	0.000482
759	0.000401
760	0.000895
761	0.000414
762	0.000461
763	0.000356
764	0.000695
765	0.000421
766	0.000926
767	0.000262
768	0.000351
769	0.000402
770	0.000596
771	0.000279
772	0.000584
773	0.000925
774	0.000883
775	0.000127
776	0.000304
777	0.000556
778	0.000595
779	0.000471
780	0.000825
781	0.001012
782	0.000285
783	0.000412
784	0.000860
785	0.000157
786	0.000240
787	0.000537
788	0.000160
789	0.000231
790	0.000164
791	0.000178
792	0.000552
793	0.000357
794	0.000398
795	0.000436
796	0.000191
797	0.000491
798	0.000212
799	0.000284
800	0.000772
801	0.000116
802	0.000161
803	0.000363
804	0.000269
805	0.001069
806	0.000210
807	0.000445
808	0.000215
809	0.000350
810	0.000712
811	0.000219
812	0.000368
813	0.000229
814	0.000532
815	0.000938
816	0.000276
817	0.000490
818	0.000261
819	0.000717
820	0.000753
821	0.000302
822	0.000226
823	0.000961
824	0.000957
825	0.000224
826	0.000318
827	0.000752
828	0.001046
829	0.000597
830	0.000876
831	0.000368
832	0.000145
833	0.000300
834	0.000782
835	0.000352
836	0.000260
837	0.000261
838	0.000373
839	0.000204
840	0.000486
841	0.000139
842	0.000645
843	0.000263
844	0.000347
845	0.000464
846	0.000178
847	0.000539
848	0.000382
849	0.000447
850	0.000194
851	0.000162
852	0.000145
853	0.000720
854	0.000156
855	0.000141
856	0.000420
857	0.000246
858	0.000161
859	0.000138
860	0.000146
861	0.000155
862	0.000314
863	0.000155
864	0.000130
865	0.000146
866	0.000149
867	0.000242
868	0.000141
869	0.000159
870	0.000168
871	0.000161
872	0.000220
873	0.000198
874	0.000198
875	0.000120
876	0.000152
877	0.000170
878	0.000145
879	0.000150
880	0.000188
881	0.000148
882	0.000139
883	0.000118
884	0.000123
885	0.000193
886	0.000133
887	0.000169
888	0.000138
889	0.000145
890	0.000169
891	0.000116
892	0.000116
893	0.000123
894	0.000134
895	0.000140
896	0.000238
897	0.000403
898	0.000227
899	0.000115
900	0.000156
901	0.000217
902	0.000171
903	0.000216
904	0.000125
905	0.000125
906	0.000300
907	0.000176
908	0.000201
909	0.000138
910	0.000119
911	0.000108
912	0.000130
913	0.000176
914	0.000126
915	0.000147
916	0.000576
917	0.000330
918	0.000108
919	0.000196
920	0.000171
921	0.000498
922	0.000258
923	0.000128
924	0.000205
925	0.000561
926	0.000222
927	0.000412
928	0.000131
929	0.000118
930	0.000161
931	0.000122
932	0.000356
933	0.000186
934	0.000459
935	0.000123
936	0.000143
937	0.000120
938	0.000197
939	0.000123
940	0.000148
941	0.000244
942	0.000258
943	0.000133
944	0.000202
945	0.000117
946	0.000573
947	0.000508
948	0.000148
949	0.000140
950	0.000139
951	0.000153
952	0.000465
953	0.000470
954	0.000245
955	0.000131
956	0.000125
957	0.000264
958	0.000187
959	0.000288
960	0.000428
961	0.000140
962	0.000135
963	0.000207
964	0.000174
965	0.000154
966	0.000457
967	0.000461
968	0.000213
969	0.000194
970	0.000133
971	0.000199
972	0.000193
973	0.000148
974	0.000132
975	0.000246
976	0.000131
977	0.000172
978	0.000426
979	0.000123
980	0.000453
981	0.000232
982	0.000348
983	0.000322
984	0.000218
985	0.000116
986	0.000135
987	0.000116
988	0.000222
989	0.000153
990	0.000158
991	0.000161
992	0.000198
993	0.000494
994	0.000143
995	0.000304
996	0.000111
997	0.000395
998	0.000133
999	0.000426
1000	0.000127
1001	0.000156
1002	0.000110
1003	0.000425
1004	0.000490
1005	0.000143
1006	0.000522
1007	0.000148
1008	0.000117
1009	0.000175
1010	0.000159
1011	0.000185
1012	0.000146
1013	0.000119
1014	0.000208
1015	0.000152
1016	0.000120
1017	0.000531
1018	0.000165
1019	0.000176
1020	0.000172
1021	0.000179
1022	0.000112
1023	0.000113
1024	0.000415
1025	0.000142
1026	0.000354
1027	0.000108
1028	0.000336
1029	0.000326
1030	0.000132
1031	0.000111
1032	0.000190
1033	0.000135
1034	0.000112
1035	0.000137
1036	0.000174
1037	0.000148
1038	0.000118
1039	0.000233
1040	0.000356
1041	0.000206
1042	0.000140
1043	0.000132
1044	0.000140
1045	0.000133
1046	0.000108
1047	0.000318
1048	0.000399
1049	0.000351
1050	0.000118
1051	0.000194
1052	0.000209
1053	0.000115
1054	0.000273
1055	0.000124
1056	0.000301
1057	0.000117
1058	0.000131
1059	0.000490
1060	0.000169
1061	0.000135
1062	0.000132
1063	0.000204
1064	0.000151
1065	0.000107
1066	0.000177
1067	0.000187
1068	0.000304
1069	0.000190
1070	0.000223
1071	0.000108
1072	0.000161
1073	0.000114
1074	0.000301
1075	0.000328
1076	0.000465
1077	0.000153
1078	0.000518
1079	0.000433
1080	0.000165
1081	0.000139
1082	0.000172
1083	0.000399
1084	0.000147
1085	0.000379
1086	0.000493
1087	0.000114
1088	0.000195
1089	0.000140
1090	0.000125
1091	0.000169
1092	0.000263
1093	0.000116
1094	0.000127
1095	0.000130
1096	0.000105
1097	0.000206
1098	0.000231
1099	0.000164
1100	0.000175
1101	0.000424
1102	0.000159
1103	0.000126
1104	0.000207
1105	0.000109
