d=0.85, epsilon=1e-7, iter 70
nodeid	pagerank
452	0.000153
453	0.000106
454	0.000106
455	0.000144
456	0.000165
457	0.000121
458	0.000130
459	0.000112
460	0.000167
461	0.000161
462	0.000122
463	0.000144
464	0.000106
465	0.000178
466	0.000113
467	0.000106
468	0.000103
469	0.000122
470	0.000115
471	0.000135
472	0.000107
473	0.000133
474	0.000124
475	0.000224
476	0.000107
477	0.000113
478	0.000109
479	0.000142
480	0.000110
481	0.000127
482	0.000143
483	0.000291
484	0.000230
485	0.000107
486	0.000114
487	0.000137
488	0.000134
489	0.000123
490	0.000114
491	0.000112
492	0.000174
493	0.000160
494	0.000129
495	0.000124
496	0.000148
497	0.000181
498	0.000106
499	0.000105
500	0.000183
501	0.000108
502	0.000112
503	0.000160
504	0.000146
505	0.000112
506	0.000174
507	0.000166
508	0.000118
509	0.000112
510	0.000125
511	0.000133
512	0.000133
513	0.000184
514	0.000161
515	0.000160
516	0.000115
517	0.000198
518	0.000114
519	0.000122
520	0.000146
521	0.000114
522	0.000112
523	0.000138
524	0.000160
525	0.000160
526	0.000250
527	0.000140
528	0.000114
529	0.000109
530	0.000105
531	0.000132
532	0.000108
533	0.000106
534	0.000108
535	0.000111
536	0.000119
537	0.000136
538	0.000181
539	0.000117
540	0.000109
541	0.000110
542	0.000149
543	0.000119
544	0.000156
545	0.000137
546	0.000124
547	0.000123
548	0.000125
549	0.000107
550	0.000103
551	0.000111
552	0.000105
553	0.000166
554	0.000112
555	0.000125
556	0.000136
557	0.000125
558	0.000116
559	0.000165
560	0.000123
561	0.000160
562	0.000105
563	0.000169
564	0.000108
565	0.000116
566	0.000175
567	0.000153
568	0.000109
569	0.000111
570	0.000123
571	0.000104
572	0.000105
573	0.000134
574	0.000114
575	0.000115
576	0.000117
577	0.000125
578	0.000125
579	0.000138
580	0.000180
581	0.000104
582	0.000122
583	0.000125
584	0.000118
585	0.000103
586	0.000109
587	0.000112
588	0.000116
589	0.000122
590	0.000115
591	0.000138
592	0.000138
593	0.000105
594	0.000110
595	0.000119
596	0.000155
597	0.000122
598	0.000117
599	0.000123
600	0.000122
601	0.000127
602	0.000103
603	0.000118
604	0.000129
605	0.000117
606	0.000192
607	0.000103
608	0.000103
609	0.000124
610	0.000106
611	0.000115
612	0.000114
613	0.000103
614	0.000126
615	0.000121
616	0.000118
617	0.000121
618	0.000120
619	0.000121
620	0.000117
621	0.000107
622	0.000111
623	0.000113
624	0.000103
625	0.000115
626	0.000113
627	0.000121
628	0.000112
629	0.000116
630	0.000129
631	0.000110
632	0.000118
633	0.000112
634	0.000114
635	0.000117
636	0.000117
637	0.000211
638	0.000103
639	0.000109
640	0.000118
641	0.000172
642	0.000103
643	0.000117
644	0.000115
645	0.000122
646	0.000111
647	0.000115
648	0.000103
649	0.000106
650	0.000115
651	0.000166
652	0.000105
653	0.000119
654	0.000121
655	0.000106
656	0.000104
657	0.000106
658	0.000116
659	0.000115
660	0.000104
661	0.000115
662	0.000114
663	0.000107
664	0.000110
665	0.000111
666	0.000111
667	0.000104
668	0.000103
669	0.000124
670	0.000112
671	0.000105
672	0.000106
673	0.000105
674	0.000103
675	0.000112
676	0.000114
677	0.000113
678	0.000115
679	0.000106
680	0.000114
681	0.000111
682	0.000108
683	0.000121
684	0.000110
685	0.000109
686	0.001395
687	0.001775
688	0.002014
689	0.000766
690	0.001652
691	0.000508
692	0.000300
693	0.001635
694	0.001950
695	0.001949
696	0.001859
697	0.001766
698	0.000870
699	0.000233
700	0.000859
701	0.001394
702	0.000647
703	0.001320
704	0.000326
705	0.001455
706	0.001410
707	0.000344
708	0.001238
709	0.001006
710	0.000810
711	0.001282
712	0.000360
713	0.001488
714	0.000351
715	0.000839
716	0.000475
717	0.000169
718	0.000868
719	0.001228
720	0.000528
721	0.000441
722	0.000568
723	0.001121
724	0.001078
725	0.000269
726	0.001013
727	0.001322
728	0.000794
729	0.000373
730	0.000435
731	0.000877
732	0.000310
733	0.000247
734	0.000640
735	0.000214
736	0.000288
737	0.000563
738	0.000714
739	0.000717
740	0.000270
741	0.000502
742	0.000288
743	0.000143
744	0.000136
745	0.001037
746	0.000227
747	0.000913
748	0.000472
749	0.000126
750	0.000139
751	0.000435
752	0.000909
753	0.000327
754	0.000721
755	0.000427
756	0.000398
757	0.000136
758	0.000424
759	0.000352
760	0.000764
761	0.000363
762	0.000402
763	0.000318
764	0.000602
765	0.000370
766	0.000792
767	0.000242
768	0.000319
769	0.000356
770	0.000518
771	0.000255
772	0.000505
773	0.000791
774	0.000758
775	0.000122
776	0.000281
777	0.000482
778	0.000515
779	0.000412
780	0.000708
781	0.000868
782	0.000260
783	0.000365
784	0.000740
785	0.000148
786	0.000220
787	0.000472
788	0.000151
789	0.000215
790	0.000154
791	0.000167
792	0.000481
793	0.000320
794	0.000351
795	0.000383
796	0.000178
797	0.000432
798	0.000195
799	0.000256
800	0.000667
801	0.000112
802	0.000152
803	0.000324
804	0.000249
805	0.000918
806	0.000197
807	0.000392
808	0.000198
809	0.000313
810	0.000615
811	0.000202
812	0.000323
813	0.000210
814	0.000465
815	0.000807
816	0.000253
817	0.000430
818	0.000240
819	0.000622
820	0.000651
821	0.000269
822	0.000210
823	0.000829
824	0.000825
825	0.000208
826	0.000283
827	0.000653
828	0.000904
829	0.000521
830	0.000758
831	0.000326
832	0.000138
833	0.000275
834	0.000677
835	0.000315
836	0.000236
837	0.000236
838	0.000333
839	0.000192
840	0.000427
841	0.000132
842	0.000561
843	0.000238
844	0.000308
845	0.000407
846	0.000166
847	0.000471
848	0.000339
849	0.000396
850	0.000180
851	0.000152
852	0.000138
853	0.000625
854	0.000147
855	0.000134
856	0.000376
857	0.000234
858	0.000154
859	0.000132
860	0.000140
861	0.000148
862	0.000298
863	0.000149
864	0.000126
865	0.000141
866	0.000144
867	0.000228
868	0.000136
869	0.000150
870	0.000161
871	0.000154
872	0.000208
873	0.000188
874	0.000188
875	0.000116
876	0.000146
877	0.000162
878	0.000140
879	0.000144
880	0.000174
881	0.000143
882	0.000134
883	0.000114
884	0.000120
885	0.000184
886	0.000129
887	0.000162
888	0.000133
889	0.000139
890	0.000158
