0,0,0,21,7,0,26,16,0,0
0,45,0,43,23,23,0,51,0,0
27,0,17,27,47,17,44,30,10,8
28,43,53,32,18,20,38,101,4,10
0,39,83,75,22,12,0,0,11,27
1,11,53,0,74,26,33,51,7,27
28,3,43,26,14,0,17,9,0,13
4,37,7,55,60,36,0,0,10,34
34,0,66,44,29,70,6,25,21,0
4,31,0,84,18,59,29,23,0,0
238,228,167,205,227,211,223,211,206,211
212,255,156,218,237,241,176,242,215,223
225,173,170,185,246,223,224,210,218,231
211,211,192,173,193,204,203,255,195,214
178,210,213,197,168,166,111,144,173,195
184,178,186,100,217,178,184,204,166,190
186,157,189,176,183,166,190,184,177,206
160,191,159,211,229,216,150,192,211,239
212,103,218,190,175,233,199,230,224,187
192,209,109,224,153,213,223,234,192,109
219,217,169,207,215,194,214,203,191,192
199,255,162,223,227,227,168,235,200,205
226,179,184,196,241,213,221,207,205,213
217,220,211,190,196,202,207,255,188,203
179,218,235,220,181,174,121,154,178,198
188,187,205,122,231,189,193,212,172,195
197,169,204,190,188,169,194,187,176,203
172,203,172,223,234,217,149,188,205,232
214,108,229,203,190,242,198,225,220,184
191,211,120,239,172,225,222,227,188,106
